id,channel,value,datetime
7069306,2,294.26,2024-01-11 01:38:01.000000
7069307,2,294.259,2024-01-11 01:39:02.000000
7069308,5,294.276,2024-01-11 01:38:01.000000
7069309,5,294.289,2024-01-11 01:39:02.000000
7069310,6,0,2024-01-11 01:38:01.000000
7069311,6,0,2024-01-11 01:39:02.000000
7069312,1,293.585,2024-01-11 01:40:02.000000
7069313,1,293.585,2024-01-11 01:41:02.000000
7069314,2,294.267,2024-01-11 01:40:02.000000
7069315,2,294.265,2024-01-11 01:41:02.000000
7069316,5,294.288,2024-01-11 01:40:02.000000
7069317,5,294.262,2024-01-11 01:41:02.000000
7069318,6,0,2024-01-11 01:40:02.000000
7069319,6,0,2024-01-11 01:41:02.000000
7069320,1,293.585,2024-01-11 01:42:02.000000
7069321,1,293.584,2024-01-11 01:43:02.000000
7069322,2,294.253,2024-01-11 01:42:02.000000
7069323,2,294.256,2024-01-11 01:43:02.000000
7069324,5,294.271,2024-01-11 01:42:02.000000
7069325,5,294.276,2024-01-11 01:43:02.000000
7069326,6,0,2024-01-11 01:42:02.000000
7069327,6,0,2024-01-11 01:43:02.000000
7069328,1,293.582,2024-01-11 01:44:03.000000
7069329,1,293.582,2024-01-11 01:45:03.000000
7069330,2,294.254,2024-01-11 01:44:03.000000
7069331,2,294.263,2024-01-11 01:45:03.000000
7069332,5,294.276,2024-01-11 01:44:03.000000
7069333,5,294.261,2024-01-11 01:45:03.000000
7069334,6,0,2024-01-11 01:44:03.000000
7069335,6,0,2024-01-11 01:45:03.000000
7069336,1,293.582,2024-01-11 01:46:03.000000
7069337,1,293.581,2024-01-11 01:47:03.000000
7069338,1,293.578,2024-01-11 01:48:03.000000
7069339,2,294.251,2024-01-11 01:46:03.000000
7069340,2,294.265,2024-01-11 01:47:03.000000
7069341,2,294.247,2024-01-11 01:48:03.000000
7069342,5,294.281,2024-01-11 01:46:03.000000
7069343,5,294.323,2024-01-11 01:47:03.000000
7069344,5,294.278,2024-01-11 01:48:03.000000
7069345,6,0,2024-01-11 01:46:03.000000
7069346,6,0,2024-01-11 01:47:03.000000
7069347,6,0,2024-01-11 01:48:03.000000
7069348,1,293.582,2024-01-11 01:49:04.000000
7069349,2,294.261,2024-01-11 01:49:04.000000
7069350,5,294.297,2024-01-11 01:49:04.000000
7069351,6,0,2024-01-11 01:49:04.000000
7069352,1,293.578,2024-01-11 01:50:04.000000
7069353,1,293.577,2024-01-11 01:51:04.000000
7069354,1,293.578,2024-01-11 01:52:04.000000
7069355,2,294.26,2024-01-11 01:50:04.000000
7069356,2,294.241,2024-01-11 01:51:04.000000
7069357,2,294.276,2024-01-11 01:52:04.000000
7069358,5,294.298,2024-01-11 01:50:04.000000
7069359,5,294.273,2024-01-11 01:51:04.000000
7069360,5,294.311,2024-01-11 01:52:04.000000
7069361,6,0,2024-01-11 01:50:04.000000
7069362,6,0,2024-01-11 01:51:04.000000
7069363,6,0,2024-01-11 01:52:04.000000
7069364,1,293.577,2024-01-11 01:53:04.000000
7069365,2,294.264,2024-01-11 01:53:04.000000
7069366,5,294.268,2024-01-11 01:53:04.000000
7069367,6,0,2024-01-11 01:53:04.000000
7069368,1,293.576,2024-01-11 01:54:05.000000
7069369,1,293.577,2024-01-11 01:55:05.000000
7069370,1,293.575,2024-01-11 01:56:05.000000
7069371,2,294.261,2024-01-11 01:54:05.000000
7069372,2,294.25,2024-01-11 01:55:05.000000
7069373,2,294.244,2024-01-11 01:56:05.000000
7069374,5,294.289,2024-01-11 01:54:05.000000
7069375,5,294.276,2024-01-11 01:55:05.000000
7069376,5,294.251,2024-01-11 01:56:05.000000
7069377,6,0,2024-01-11 01:54:05.000000
7069378,6,0,2024-01-11 01:55:05.000000
7069379,6,0,2024-01-11 01:56:05.000000
7069380,1,293.575,2024-01-11 01:57:06.000000
7069381,2,294.263,2024-01-11 01:57:06.000000
7069382,5,294.278,2024-01-11 01:57:06.000000
7069383,6,0,2024-01-11 01:57:06.000000
7069384,1,293.574,2024-01-11 01:58:06.000000
7069385,1,293.573,2024-01-11 01:59:06.000000
7069386,1,293.573,2024-01-11 02:00:06.000000
7069387,2,294.255,2024-01-11 01:58:06.000000
7069388,2,294.261,2024-01-11 01:59:06.000000
7069389,2,294.246,2024-01-11 02:00:06.000000
7069390,5,294.263,2024-01-11 01:58:06.000000
7069391,5,294.253,2024-01-11 01:59:06.000000
7069392,5,294.275,2024-01-11 02:00:06.000000
7069393,6,0,2024-01-11 01:58:06.000000
7069394,6,0,2024-01-11 01:59:06.000000
7069395,6,0,2024-01-11 02:00:06.000000
7069396,1,293.573,2024-01-11 02:01:06.000000
7069397,2,294.269,2024-01-11 02:01:06.000000
7069398,5,294.337,2024-01-11 02:01:06.000000
7069399,6,0,2024-01-11 02:01:06.000000
7069400,1,293.57,2024-01-11 02:02:07.000000
7069401,1,293.569,2024-01-11 02:03:07.000000
7069402,1,293.572,2024-01-11 02:04:07.000000
7069403,2,294.259,2024-01-11 02:02:07.000000
7069404,2,294.241,2024-01-11 02:03:07.000000
7069405,2,294.252,2024-01-11 02:04:07.000000
7069406,5,294.253,2024-01-11 02:02:07.000000
7069407,5,294.231,2024-01-11 02:03:07.000000
7069408,5,294.286,2024-01-11 02:04:07.000000
7069409,6,0,2024-01-11 02:02:07.000000
7069410,6,0,2024-01-11 02:03:07.000000
7069411,6,0,2024-01-11 02:04:07.000000
7069412,1,293.568,2024-01-11 02:05:07.000000
