id,channel,value,datetime
6602540,2,39.859798582226446,2023-09-02 00:05:05
6602542,5,39.676516934960944,2023-09-02 00:05:05
6602545,6,39.42035766769688,2023-09-02 00:06:05
6602539,1,39.107021885769896,2023-09-02 00:06:05
6602541,2,38.75988054345625,2023-09-02 00:06:05
6602543,5,38.408011564546676,2023-09-02 00:06:05
6602546,1,38.083417704922795,2023-09-02 00:09:05
6602548,2,37.81770437206468,2023-09-02 00:09:05
6602550,5,37.63858940444744,2023-09-02 00:09:05
6602552,6,37.566663617327876,2023-09-02 00:09:05
6602547,1,37.612811647767536,2023-09-02 00:10:06
6602549,2,37.776636651057515,2023-09-02 00:10:06
6602551,5,38.04611801734067,2023-09-02 00:10:06
6602553,6,38.39858329870202,2023-09-02 00:10:06
6602554,1,38.80291268852221,2023-09-02 00:13:06
6602560,6,39.22273755452834,2023-09-02 00:13:06
6602556,2,39.62026506506969,2023-09-02 00:13:06
6602558,5,39.960277784255,2023-09-02 00:13:06
6602559,5,40.213832688973234,2023-09-02 00:14:06
6602561,6,40.361221441735765,2023-09-02 00:14:06
6602555,1,40.39384665455851,2023-09-02 00:14:06
6602557,2,40.31480409036439,2023-09-02 00:14:06
6602562,1,40.138120950103975,2023-09-02 00:16:06
6602571,6,39.886766120198416,2023-09-02 00:16:06
6602565,2,39.589699156197355,2023-09-02 00:16:06
6602568,5,39.27834108093857,2023-09-02 00:16:06
6602572,6,38.982915109537366,2023-09-02 00:17:06
6602569,5,38.72910922356566,2023-09-02 00:17:06
6602566,2,38.53545502993019,2023-09-02 00:17:06
6602563,1,38.41170886709168,2023-09-02 00:17:06
6602564,1,38.35837953490989,2023-09-02 00:18:06
6602570,5,38.36739347152656,2023-09-02 00:18:06
6602573,6,38.423743669917314,2023-09-02 00:18:06
6602567,2,38.507851769665095,2023-09-02 00:18:06
6602574,1,38.59829794717852,2023-09-02 00:21:07
6602580,6,38.674548566726514,2023-09-02 00:21:07
6602576,2,38.71933774610504,2023-09-02 00:21:07
6602578,5,38.72042962973529,2023-09-02 00:21:07
6602579,5,38.67159117617246,2023-09-02 00:22:08
6602581,6,38.57272502646014,2023-09-02 00:22:08
6602575,1,38.429231724625105,2023-09-02 00:22:08
6602577,2,38.250774179878974,2023-09-02 00:22:08
6602582,1,38.04969055758128,2023-09-02 00:24:08
6602583,2,37.839333280249946,2023-09-02 00:24:08
6602584,5,37.63259500111477,2023-09-02 00:24:08
6602585,6,37.440819061774235,2023-09-02 00:24:08
6602588,5,37.27319441554151,2023-09-02 00:26:08
6602589,6,37.13662508903899,2023-09-02 00:26:08
6602586,1,37.03596790372975,2023-09-02 00:26:08
6602587,2,36.97447137780551,2023-09-02 00:26:08
6602591,2,36.95423396198074,2023-09-02 00:28:09
6602592,5,36.97652697625247,2023-09-02 00:28:09
6602593,6,37.04188195395749,2023-09-02 00:28:09
6602590,1,37.14990642948831,2023-09-02 00:28:09
6602594,1,37.298854717048116,2023-09-02 00:30:09
6602595,2,37.485036033900464,2023-09-02 00:30:09
6602596,5,37.70218901749799,2023-09-02 00:30:09
6602597,6,37.940983898370746,2023-09-02 00:30:09
6602600,5,38.188821998909596,2023-09-02 00:32:10
6602601,6,38.4300781755783,2023-09-02 00:32:10
6602599,2,38.6468736969612,2023-09-02 00:32:10
6602598,1,38.82038331693913,2023-09-02 00:32:10
6602602,1,38.93258694612179,2023-09-02 00:35:10
6602604,2,38.96829066947528,2023-09-02 00:35:10
6602606,5,38.91717704095036,2023-09-02 00:35:10
6602608,6,38.77560805041926,2023-09-02 00:35:10
6602609,6,38.54790014925416,2023-09-02 00:36:10
6602603,1,38.246823350114894,2023-09-02 00:36:10
6602605,2,37.893149333754735,2023-09-02 00:36:10
6602607,5,37.51418548143998,2023-09-02 00:36:10
6602614,5,37.1413718582398,2023-09-02 00:39:11
6602612,2,36.807165055610525,2023-09-02 00:39:11
6602610,1,36.54155956231795,2023-09-02 00:39:11
6602616,6,36.36867906549038,2023-09-02 00:39:11
6602613,2,36.30389014184256,2023-09-02 00:40:11
6602615,5,36.35184358258035,2023-09-02 00:40:11
6602611,1,36.50573914416426,2023-09-02 00:40:11
6602617,6,36.747951694768844,2023-09-02 00:40:11
6602621,6,37.051971638308764,2023-09-02 00:42:11
6602620,5,37.38542708143056,2023-09-02 00:42:11
6602619,2,37.71379929990024,2023-09-02 00:42:11
6602618,1,38.00434385916728,2023-09-02 00:42:11
6602622,1,38.22970514398438,2023-09-02 00:44:12
6602623,2,38.37076591187084,2023-09-02 00:44:12
6602624,5,38.418394889432044,2023-09-02 00:44:12
6602625,6,38.37392178138009,2023-09-02 00:44:12
6602626,1,38.24835141673708,2023-09-02 00:46:12
6602627,2,38.060497544185445,2023-09-02 00:46:12
6602628,5,37.83434657239593,2023-09-02 00:46:12
6602629,6,37.5960346806985,2023-09-02 00:46:12
6602633,6,37.37083138647146,2023-09-02 00:48:12
6602632,5,37.1804747300229,2023-09-02 00:48:12
6602631,2,37.041114925075924,2023-09-02 00:48:12
6602630,1,36.962017559082895,2023-09-02 00:48:12
6602634,1,36.94507540394958,2023-09-02 00:50:12
6602635,2,36.985093576643486,2023-09-02 00:50:12
6602636,5,37.070751378201244,2023-09-02 00:50:12
6602637,6,37.18610375171779,2023-09-02 00:50:12
6602638,1,37.31246023626645,2023-09-02 00:52:13
6602640,2,37.43046368714775,2023-09-02 00:52:13
6602644,6,37.522181521780624,2023-09-02 00:52:13
6602642,5,37.57301881456535,2023-09-02 00:52:13
6602645,6,37.573268074457324,2023-09-02 00:53:13
6602639,1,37.51912999446801,2023-09-02 00:53:13
6602641,2,37.413078569003915,2023-09-02 00:53:13
6602643,5,37.26350619646808,2023-09-02 00:53:13
6602646,1,37.08366732993957,2023-09-02 00:57:14
